concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
2000000257	2000000273	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000274	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000275	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000276	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000277	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000278	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000279	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000280	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000281	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000282	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000283	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000284	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000285	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000286	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000287	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000288	Subsumes	1970-01-01	2099-12-31		
2000000257	2000000289	Subsumes	2005-11-15	2099-12-31		
2000000257	2000000290	Subsumes	2005-11-15	2099-12-31		
2000000292	2000000291	Is a	1970-01-01	2099-12-31		
2000000293	2000000291	Is a	1970-01-01	2099-12-31		
2000000294	2000000291	Is a	1970-01-01	2099-12-31		
2000000291	2000000292	Subsumes	1970-01-01	2099-12-31		
2000000291	2000000293	Subsumes	1970-01-01	2099-12-31		
2000000291	2000000294	Subsumes	1970-01-01	2099-12-31		
2000000296	2000000295	Is a	1970-01-01	2099-12-31		
2000000297	2000000295	Is a	1970-01-01	2099-12-31		
2000000298	2000000295	Is a	1970-01-01	2099-12-31		
2000000299	2000000295	Is a	1970-01-01	2099-12-31		
2000000300	2000000295	Is a	1970-01-01	2099-12-31		
2000000301	2000000295	Is a	2021-08-01	2099-12-31		
2000000295	2000000296	Subsumes	1970-01-01	2099-12-31		
2000000295	2000000297	Subsumes	1970-01-01	2099-12-31		
2000000295	2000000298	Subsumes	1970-01-01	2099-12-31		
2000000295	2000000299	Subsumes	1970-01-01	2099-12-31		
2000000295	2000000300	Subsumes	1970-01-01	2099-12-31		
2000000295	2000000301	Subsumes	2021-08-01	2099-12-31		
2000000303	2000000302	Is a	1970-01-01	2099-12-31		
2000000304	2000000302	Is a	1970-01-01	2099-12-31		
2000000302	2000000303	Subsumes	1970-01-01	2099-12-31		
2000000302	2000000304	Subsumes	1970-01-01	2099-12-31		
